date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:10	3898/3898	---M-Z	200	added ('OK')	application/javascript	etag:%22f3a-586053a805280-gzip%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/divi-flip-cards/scripts/frontend-bundle.min.js?ver=1.0.0&time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/plugins/divi-flip-cards/scripts/frontend-bundle.minfaca.js	(from http://7bt.504.myftpupload.com/)
21:40:10	1360/1360	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2010%20May%202019%2011:29:55%20GMT	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/js/common.js?ver=3.22.7&time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/js/common2298.js	(from http://7bt.504.myftpupload.com/)
21:40:11	1434/1434	---M-Z	200	added ('OK')	application/javascript	etag:%2259a-595c52fd2e6c0-gzip%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-includes/js/wp-embed.min.js?ver=5.4.2&time=1561857099	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-includes/js/wp-embed.min5e4e.js	(from http://7bt.504.myftpupload.com/)
21:40:11	92564/92564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216994-58886e2c352c0%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modules.eot	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modules.eot	(from https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/style.css?ver=5.4.2&time=1561857099)
21:40:11	92564/92564	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216994-58886e2c352c0%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modules.eot?	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modulesd41d.eot	(from https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/style.css?ver=5.4.2&time=1561857099)
21:40:12	92400/92400	---M--	200	added ('OK')	font/ttf	etag:%22168f0-58886e2c352c0%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modules.ttf	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modules.ttf	(from https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/style.css?ver=5.4.2&time=1561857099)
21:40:12	92476/92476	---M--	200	added ('OK')	font/woff	etag:%221693c-58886e2c352c0%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modules.woff	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modules.woff	(from https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/style.css?ver=5.4.2&time=1561857099)
21:40:12	301078/301078	---M--	200	added ('OK')	image/svg+xml	etag:%2249816-58886e2c352c0%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modules.svg	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/core/admin/fonts/modules.svg	(from https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/style.css?ver=5.4.2&time=1561857099)
21:40:12	1422/1422	---M--	200	added ('OK')	image/gif	etag:%2258e-58886e2588300%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/includes/builder/styles/images/subscribe-loader.gif	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/includes/builder/styles/images/subscribe-loader.gif	(from https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/style.css?ver=5.4.2&time=1561857099)
21:40:12	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-58886e2588300%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/style.css?ver=5.4.2&time=1561857099)
21:40:13	17119/17119	---M--	200	added ('OK')	image/png	etag:%2242df-58886e24940c0%22	https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/epanel/shortcodes/images/shortcodes-sprite.png	C:/My%20Web%20Sites/Opses-1/opses%20site/secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/epanel/shortcodes/images/shortcodes-sprite.png	(from https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/style.css?ver=5.4.2&time=1561857099)
21:40:13	21/21	---M--	404	error ('Not%20Found')	text/plain	date:Wed,%2022%20Jul%202020%2020:40:15%20GMT	https://secureservercdn.net/robots.txt		(from https://secureservercdn.net/160.153.138.71/7bt.504.myftpupload.com/wp-content/themes/Divi/style.css?ver=5.4.2&time=1561857099)
